产品名称,发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,利润率,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
"SAFCO 扶手椅, 黑色",4,6,-557,"3,368","2,570",提前装运,-22%,-557,2014/2/5,中国,西南,成都,椅子,贺丹,40%,2,四川,家具,消费者,US-2014-3069391,2014/2/1,标准级,"2,570"
"贝尔金 键盘, 实惠",4,6,157,"1,231",939,提前装运,17%,157,2014/2/5,中国,西南,成都,配件,贺丹,40%,4,四川,技术,消费者,US-2014-3069391,2014/2/1,标准级,939
"GlobeWeis 局间信封, 回收",5,6,152,570,435,提前装运,35%,152,2014/2/6,中国,西北,兰州,信封,彭彩,0%,2,甘肃,办公用品,消费者,CN-2014-2330845,2014/2/1,标准级,435
"Safco 书架, 金属",5,6,-21,545,416,提前装运,-5%,-21,2014/2/6,中国,西北,兰州,书架,彭彩,40%,1,甘肃,家具,消费者,CN-2014-2330845,2014/2/1,标准级,416
"Green Bar 笔记本, 每包 12 个",3,1,52,622,475,延迟装运,11%,52,2014/2/5,中国,中南,广州,纸张,熊荣,0%,3,广东,办公用品,消费者,US-2014-2530333,2014/2/2,一级,475
"Elite 大剪刀, 蓝色",4,3,-33,862,658,延迟装运,-5%,-33,2014/2/6,中国,华东,椒江,用品,黄丽,40%,5,浙江,办公用品,消费者,US-2014-3275681,2014/2/2,二级,658
"Tenex 闹钟, 耐用",4,6,97,578,441,提前装运,22%,97,2014/2/6,中国,华东,胶南,用具,秦芯,0%,2,山东,家具,消费者,CN-2014-4757928,2014/2/2,标准级,441
"Elite 剪刀, 蓝色",5,6,42,138,105,提前装运,40%,42,2014/2/7,中国,中南,东莞,用品,杨欢,0%,1,广东,办公用品,公司,CN-2014-5639395,2014/2/2,标准级,105
"Jiffy 邮寄品, 回收",5,6,503,"1,320","1,007",提前装运,50%,503,2014/2/7,中国,华北,石家庄,信封,施立伟,0%,6,河北,办公用品,公司,CN-2014-2844736,2014/2/2,标准级,"1,007"
"Avery 装订机盖, 耐用",5,6,49,231,176,提前装运,28%,49,2014/2/7,中国,华北,石家庄,装订机,施立伟,0%,3,河北,办公用品,公司,CN-2014-2844736,2014/2/2,标准级,176
"Bevis 会议桌, 组装",5,6,-432,"8,487","6,477",提前装运,-7%,-432,2014/2/7,中国,华北,石家庄,桌子,施立伟,25%,2,河北,家具,公司,CN-2014-2844736,2014/2/2,标准级,"6,477"
"Rubvermaid 框架, 黑色",5,6,174,"1,344","1,026",提前装运,17%,174,2014/2/7,中国,华北,石家庄,用具,施立伟,0%,2,河北,家具,公司,CN-2014-2844736,2014/2/2,标准级,"1,026"
"佳能 传真复印机, 红色",6,6,566,"4,636","3,538",准时装运,16%,566,2014/2/8,中国,华东,莱阳,复印机,林康,0%,4,山东,技术,公司,CN-2014-2686699,2014/2/2,标准级,"3,538"
"Ames 搭扣信封, 回收",6,6,20,183,140,准时装运,14%,20,2014/2/12,中国,中南,益阳,信封,龚松,0%,5,湖南,办公用品,小型企业,CN-2014-3832812,2014/2/6,标准级,140
"Harbour Creations 合法证物标签, 耐用",6,6,7,485,370,准时装运,2%,7,2014/2/12,中国,中南,益阳,标签,龚松,0%,7,湖南,办公用品,小型企业,CN-2014-3832812,2014/2/6,标准级,370
"Hon 合法证物标签, 可调",6,6,24,107,82,准时装运,30%,24,2014/2/12,中国,中南,益阳,标签,龚松,0%,2,湖南,办公用品,小型企业,CN-2014-3832812,2014/2/6,标准级,82
"Wilson Jones 订书机, 透明",6,6,433,"2,369","1,808",准时装运,24%,433,2014/2/12,中国,中南,益阳,装订机,龚松,0%,8,湖南,办公用品,小型企业,CN-2014-3832812,2014/2/6,标准级,"1,808"
"Hewlett 墨水, 数字化",6,6,388,"1,814","1,384",准时装运,28%,388,2014/2/12,中国,中南,益阳,复印机,龚松,0%,2,湖南,技术,小型企业,CN-2014-3832812,2014/2/6,标准级,"1,384"
"苹果 办公室电话机, 整包",6,6,268,"1,599","1,220",准时装运,22%,268,2014/2/12,中国,中南,益阳,电话,龚松,0%,4,湖南,技术,小型企业,CN-2014-3832812,2014/2/6,标准级,"1,220"
"柯尼卡 喷墨打印机, 耐用",6,6,"4,213","11,505","8,780",准时装运,48%,"4,213",2014/2/12,中国,中南,益阳,设备,龚松,0%,6,湖南,技术,小型企业,CN-2014-3832812,2014/2/6,标准级,"8,780"
"Safco 书库, 白色",4,6,-659,"4,318","3,295",提前装运,-20%,-659,2014/2/11,中国,西南,成都,书架,高凤,40%,3,四川,家具,消费者,US-2014-2556865,2014/2/7,标准级,"3,295"
"宜家 书架, 白色",4,6,-444,918,701,提前装运,-63%,-444,2014/2/11,中国,西南,成都,书架,高凤,40%,2,四川,家具,消费者,US-2014-2556865,2014/2/7,标准级,701
"Office Star 折叠椅, 每套两件",3,3,66,575,438,准时装运,15%,66,2014/2/11,中国,华东,上海,椅子,周木兰,0%,1,上海,家具,消费者,CN-2014-1646975,2014/2/8,二级,438
"Hon 木桌, 白色",5,3,"-1,295","5,220","3,984",延迟装运,-33%,"-1,295",2014/2/13,中国,华东,丽水,桌子,段强,60%,4,浙江,家具,公司,US-2014-2372663,2014/2/8,二级,"3,984"
"Hoover 搅拌机, 银色",7,6,292,"1,198",914,延迟装运,32%,292,2014/2/15,中国,华东,烟台,器具,殷凤,0%,2,山东,办公用品,小型企业,CN-2014-3781306,2014/2/8,标准级,914
"Avery 文件夹标签, 可调",7,6,147,386,295,延迟装运,50%,147,2014/2/15,中国,华东,烟台,标签,殷凤,0%,9,山东,办公用品,小型企业,CN-2014-3781306,2014/2/8,标准级,295
"Cardinal 孔加固材料, 回收",7,6,25,70,53,延迟装运,48%,25,2014/2/15,中国,华东,烟台,装订机,殷凤,0%,2,山东,办公用品,小型企业,CN-2014-3781306,2014/2/8,标准级,53
"柯尼卡 计算器, 红色",7,6,150,895,683,延迟装运,22%,150,2014/2/15,中国,华东,烟台,设备,殷凤,0%,3,山东,技术,小型企业,CN-2014-3781306,2014/2/8,标准级,683
"Deflect-O 灯泡, 一包多件",6,6,69,233,178,准时装运,39%,69,2014/2/17,中国,中南,海门,用具,邓保,0%,2,广东,家具,消费者,CN-2014-3095328,2014/2/11,标准级,178
"Kraft 马尼拉纸信封, 回收",2,1,396,"1,237",944,延迟装运,42%,396,2014/2/14,中国,西南,拉萨,信封,邱谦,0%,8,西藏,办公用品,公司,CN-2014-2640851,2014/2/12,一级,944
"Acco 打孔机, 透明",2,1,253,"1,447","1,104",延迟装运,23%,253,2014/2/15,中国,东北,大庆,装订机,金诚,0%,8,黑龙江,办公用品,消费者,CN-2014-2351493,2014/2/13,一级,"1,104"
"宜家 搁架, 黑色",2,1,"1,282","4,200","3,205",延迟装运,40%,"1,282",2014/2/15,中国,东北,大庆,书架,金诚,0%,4,黑龙江,家具,消费者,CN-2014-2351493,2014/2/13,一级,"3,205"
"Harbour Creations 椅垫, 每套两件",2,1,602,"2,724","2,079",延迟装运,29%,602,2014/2/15,中国,东北,大庆,椅子,金诚,0%,6,黑龙江,家具,消费者,CN-2014-2351493,2014/2/13,一级,"2,079"
"Acco 订书机, 回收",5,3,386,"2,202","1,681",延迟装运,23%,386,2014/2/18,中国,华东,边庄,装订机,赵升,0%,7,山东,办公用品,消费者,CN-2014-2213009,2014/2/13,二级,"1,681"
"摩托罗拉 耳机, 整包",5,3,261,976,745,延迟装运,35%,261,2014/2/18,中国,华东,边庄,电话,赵升,0%,2,山东,技术,消费者,CN-2014-2213009,2014/2/13,二级,745
"Enermax 鼠标, 回收",5,3,7,466,356,延迟装运,2%,7,2014/2/18,中国,华东,边庄,配件,赵升,0%,2,山东,技术,消费者,CN-2014-2213009,2014/2/13,二级,356
"贝尔金 记忆卡, 可编程",5,3,185,711,543,延迟装运,34%,185,2014/2/18,中国,华东,边庄,配件,赵升,0%,1,山东,技术,消费者,CN-2014-2213009,2014/2/13,二级,543
"Acco 订书机, 耐用",0,0,199,965,736,准时装运,27%,199,2014/2/14,中国,中南,东莞,装订机,徐蔓楚,0%,3,广东,办公用品,公司,CN-2014-1776641,2014/2/14,当日,736
"Jiffy 局间信封, 银色",4,6,118,"1,195",912,提前装运,13%,118,2014/2/18,中国,华北,石家庄,信封,万虹,0%,4,河北,办公用品,消费者,CN-2014-2859473,2014/2/14,标准级,912
"GlobeWeis 局间信封, 每套 50 个",4,6,"1,097","3,509","2,678",提前装运,41%,"1,097",2014/2/18,中国,西南,广元,信封,邓立,0%,12,四川,办公用品,消费者,US-2014-5648514,2014/2/14,标准级,"2,678"
"Stockwell 夹子, 混合尺寸",4,6,-24,184,140,提前装运,-17%,-24,2014/2/18,中国,西南,广元,系固件,邓立,40%,3,四川,办公用品,消费者,US-2014-5648514,2014/2/14,标准级,140
"Office Star 折叠椅, 可调",2,3,-229,691,528,提前装运,-43%,-229,2014/2/17,中国,西南,成都,椅子,冯莲,40%,2,四川,家具,公司,US-2014-4791939,2014/2/15,二级,528
"三星 音频基座, 整包",2,3,-288,612,467,提前装运,-62%,-288,2014/2/17,中国,西南,成都,电话,冯莲,40%,1,四川,技术,公司,US-2014-4791939,2014/2/15,二级,467
"Harbour Creations 合法证物标签, 可调",3,1,1,216,165,延迟装运,1%,1,2014/2/18,中国,东北,梨树,标签,余舟,0%,4,吉林,办公用品,小型企业,CN-2014-5477816,2014/2/15,一级,165
"Tenex 分层置放架, 优质",3,1,213,583,445,延迟装运,48%,213,2014/2/18,中国,东北,梨树,用具,余舟,0%,4,吉林,家具,小型企业,CN-2014-5477816,2014/2/15,一级,445
"Memorex 闪存驱动器, 回收",3,1,79,333,254,延迟装运,31%,79,2014/2/18,中国,东北,梨树,配件,余舟,0%,2,吉林,技术,小型企业,CN-2014-5477816,2014/2/15,一级,254
"KitchenAid 烤面包机, 银色",5,3,16,632,482,延迟装运,3%,16,2014/2/21,中国,东北,营口,器具,戴松,40%,2,辽宁,办公用品,公司,CN-2014-2508741,2014/2/16,二级,482
"Ibico 装订机盖, 回收",5,3,-29,103,78,延迟装运,-37%,-29,2014/2/21,中国,东北,营口,装订机,戴松,40%,2,辽宁,办公用品,公司,CN-2014-2508741,2014/2/16,二级,78
"Wilson Jones 孔加固材料, 实惠",5,3,-7,33,25,延迟装运,-27%,-7,2014/2/21,中国,东北,营口,装订机,戴松,40%,2,辽宁,办公用品,公司,CN-2014-2508741,2014/2/16,二级,25
"Advantus 按钉, 混合尺寸",3,1,11,174,133,延迟装运,8%,11,2014/2/20,中国,华东,宁波,系固件,彭绅,40%,4,浙江,办公用品,公司,CN-2014-1663187,2014/2/17,一级,133
"Elite 美工刀, 蓝色",4,3,156,"1,707","1,303",延迟装运,12%,156,2014/2/21,中国,华北,天津,用品,孟刚,0%,8,天津,办公用品,公司,CN-2014-3064620,2014/2/17,二级,"1,303"
"Eldon 文件夹, 单宽度",5,6,152,624,476,提前装运,32%,152,2014/2/22,中国,中南,长沙,收纳具,陈嫒,0%,6,湖南,办公用品,消费者,CN-2014-1964482,2014/2/17,标准级,476
"Elite 开信刀, 锯齿状",7,6,259,"1,027",784,延迟装运,33%,259,2014/2/24,中国,华东,济宁,用品,田谙,0%,7,山东,办公用品,消费者,CN-2014-3561948,2014/2/17,标准级,784
"Stockwell 订书钉, 金属",2,3,-35,80,61,提前装运,-57%,-35,2014/2/21,中国,西南,广元,系固件,田丽美,40%,2,四川,办公用品,消费者,CN-2014-5057492,2014/2/19,二级,61
"Cardinal 订书机, 回收",2,3,-317,"1,655","1,263",提前装运,-25%,-317,2014/2/21,中国,西南,广元,装订机,田丽美,40%,9,四川,办公用品,消费者,CN-2014-5057492,2014/2/19,二级,"1,263"
"Advantus 橡皮筋, 混合尺寸",4,3,4,687,524,延迟装运,1%,4,2014/2/24,中国,西南,昆明,系固件,涂珑,0%,8,云南,办公用品,小型企业,CN-2014-5027699,2014/2/20,二级,524
"Dania 搁架, 金属",4,3,189,"2,065","1,576",延迟装运,12%,189,2014/2/24,中国,西南,昆明,书架,涂珑,0%,2,云南,家具,小型企业,CN-2014-5027699,2014/2/20,二级,"1,576"
"Sauder 搁架, 黑色",4,3,"2,816","8,387","6,400",延迟装运,44%,"2,816",2014/2/24,中国,西南,昆明,书架,涂珑,0%,7,云南,家具,小型企业,CN-2014-5027699,2014/2/20,二级,"6,400"
"Rubvermaid 分层置放架, 一包多件",4,3,6,154,118,延迟装运,5%,6,2014/2/24,中国,西南,昆明,用具,涂珑,0%,1,云南,家具,小型企业,CN-2014-5027699,2014/2/20,二级,118
"Cameo 局间信封, 银色",5,6,230,914,698,提前装运,33%,230,2014/2/25,中国,华东,苏州,信封,丁蔓楚,0%,3,江苏,办公用品,消费者,CN-2014-2686699,2014/2/20,标准级,698
"Binney & Smith 钢笔, 整包",5,6,-216,90,68,提前装运,-315%,-216,2014/2/25,中国,华东,苏州,美术,丁蔓楚,80%,6,江苏,办公用品,消费者,CN-2014-2686699,2014/2/20,标准级,68
"Ibico 装订机, 耐用",5,6,-16,249,190,提前装运,-8%,-16,2014/2/25,中国,华东,苏州,装订机,丁蔓楚,40%,4,江苏,办公用品,消费者,CN-2014-2686699,2014/2/20,标准级,190
"SAFCO 凳子, 可调",5,6,-334,"1,876","1,432",提前装运,-23%,-334,2014/2/25,中国,华东,苏州,椅子,丁蔓楚,40%,3,江苏,家具,消费者,CN-2014-2686699,2014/2/20,标准级,"1,432"
"冲电器 喷墨打印机, 多色",5,6,-323,"1,152",879,提前装运,-37%,-323,2014/2/25,中国,华东,苏州,设备,丁蔓楚,40%,1,江苏,技术,消费者,CN-2014-2686699,2014/2/20,标准级,879
"惠普 无线传真机, 每套两件",6,6,"3,530","13,217","10,086",准时装运,35%,"3,530",2014/2/26,中国,华东,蚌埠,复印机,秦蔓楚,0%,6,安徽,技术,消费者,US-2014-4309040,2014/2/20,标准级,"10,086"
"Eldon 盒, 工业",4,6,38,263,200,提前装运,19%,38,2014/2/25,中国,华东,宁海,收纳具,潘涛,0%,4,山东,办公用品,公司,CN-2014-1511005,2014/2/21,标准级,200
"Hon 椅垫, 可调",4,6,406,"1,064",812,提前装运,50%,406,2014/2/25,中国,华东,宁海,椅子,潘涛,0%,3,山东,家具,公司,CN-2014-1511005,2014/2/21,标准级,812
"GlobeWeis 马尼拉纸信封, 每套 50 个",5,3,88,502,383,延迟装运,23%,88,2014/2/27,中国,西南,西昌,信封,周诚,0%,3,四川,办公用品,消费者,CN-2014-3192892,2014/2/22,二级,383
"Green Bar 信纸, 多色",5,3,72,305,232,延迟装运,31%,72,2014/2/27,中国,西南,西昌,纸张,周诚,0%,1,四川,办公用品,消费者,CN-2014-3192892,2014/2/22,二级,232
"施乐 计划信息表, 每包 12 个",5,3,17,450,343,延迟装运,5%,17,2014/2/27,中国,西南,西昌,纸张,周诚,0%,3,四川,办公用品,消费者,CN-2014-3192892,2014/2/22,二级,343
"BIC 记号笔, 蓝色",8,6,-25,517,395,延迟装运,-6%,-25,2014/3/2,中国,东北,朝阳,美术,牛黎明,20%,4,吉林,办公用品,公司,US-2014-3904829,2014/2/22,标准级,395
"Ibico 订书机, 耐用",3,3,-141,583,445,准时装运,-32%,-141,2014/2/26,中国,华东,泰州,装订机,余雯,40%,3,江苏,办公用品,消费者,US-2014-1190387,2014/2/23,二级,445
"Harbour Creations 摇椅, 红色",5,6,247,"2,698","2,059",提前装运,12%,247,2014/3/1,中国,西南,威宁,椅子,金诚,0%,3,贵州,家具,消费者,CN-2014-2386979,2014/2/24,标准级,"2,059"
"Breville 烤面包机, 红色",6,6,988,"2,815","2,148",准时装运,46%,988,2014/3/2,中国,华北,天津,器具,麦德,0%,6,天津,办公用品,公司,US-2014-5784606,2014/2/24,标准级,"2,148"
"Novimex 运输标签, 可调",6,6,15,163,124,准时装运,12%,15,2014/3/2,中国,华北,天津,标签,麦德,0%,3,天津,办公用品,公司,US-2014-5784606,2014/2/24,标准级,124
"Bush 书库, 白色",6,6,"1,438","6,730","5,136",准时装运,28%,"1,438",2014/3/2,中国,华北,天津,书架,麦德,0%,3,天津,家具,公司,US-2014-5784606,2014/2/24,标准级,"5,136"
"诺基亚 信号增强器, 整包",3,3,-89,"1,002",765,准时装运,-12%,-89,2014/3/2,中国,东北,朝阳,电话,彭博,40%,2,辽宁,技术,公司,US-2014-5128542,2014/2/27,二级,765
"OIC 橡皮筋, 混合尺寸",3,3,-35,160,122,准时装运,-28%,-35,2014/3/4,中国,中南,武汉,系固件,丁君,40%,3,湖北,办公用品,消费者,US-2014-2547654,2014/3/1,二级,122
"Stockwell 按钉, 整包",3,3,-12,105,80,准时装运,-15%,-12,2014/3/4,中国,中南,武汉,系固件,丁君,40%,2,湖北,办公用品,消费者,US-2014-2547654,2014/3/1,二级,80
"KitchenAid 炉灶, 黑色",5,6,"6,219","20,899","15,948",提前装运,39%,"6,219",2014/3/6,中国,华东,淮南,器具,潘荷,0%,6,安徽,办公用品,小型企业,CN-2014-3557528,2014/3/1,标准级,"15,948"
"贝尔金 记忆卡, 可编程",5,6,"1,292","4,979","3,799",提前装运,34%,"1,292",2014/3/6,中国,华东,淮南,配件,潘荷,0%,7,安徽,技术,小型企业,CN-2014-3557528,2014/3/1,标准级,"3,799"
"Eaton 备忘录便条, 每包 12 个",2,1,116,547,417,延迟装运,28%,116,2014/3/4,中国,华东,合肥,纸张,李丽丽,0%,5,安徽,办公用品,消费者,CN-2014-4386495,2014/3/2,一级,417
"Ibico 打孔机, 透明",2,1,142,549,419,延迟装运,34%,142,2014/3/4,中国,华东,合肥,装订机,李丽丽,0%,3,安徽,办公用品,消费者,CN-2014-4386495,2014/3/2,一级,419
"Stiletto 尺子, 锯齿状",7,6,24,212,162,延迟装运,15%,24,2014/3/9,中国,华北,汉沽,用品,冯立,0%,3,天津,办公用品,消费者,US-2014-4676940,2014/3/2,标准级,162
"Bush 墙角架, 金属",7,6,127,755,576,延迟装运,22%,127,2014/3/9,中国,华北,汉沽,书架,冯立,0%,1,天津,家具,消费者,US-2014-4676940,2014/3/2,标准级,576
"Novimex 沙滩椅, 红色",7,6,257,843,643,延迟装运,40%,257,2014/3/9,中国,华北,汉沽,椅子,冯立,0%,3,天津,家具,消费者,US-2014-4676940,2014/3/2,标准级,643
"Memorex 鼠标, 回收",7,6,43,318,242,延迟装运,18%,43,2014/3/9,中国,华北,汉沽,配件,冯立,0%,2,天津,技术,消费者,US-2014-4676940,2014/3/2,标准级,242
"佳能 个人复印机, 红色",2,3,-263,"1,379","1,052",提前装运,-25%,-263,2014/3/5,中国,西南,重庆,复印机,唐栋,20%,2,重庆,技术,小型企业,US-2014-1069751,2014/3/3,二级,"1,052"
"Rogers 锁柜, 单宽度",5,6,652,"3,883","2,963",提前装运,22%,652,2014/3/8,中国,中南,常德,收纳具,毛芯,0%,3,湖南,办公用品,公司,CN-2014-4015472,2014/3/3,标准级,"2,963"
"Hon 扶手椅, 黑色",5,6,"1,103","10,010","7,639",提前装运,14%,"1,103",2014/3/8,中国,中南,常德,椅子,毛芯,10%,4,湖南,家具,公司,CN-2014-4015472,2014/3/3,标准级,"7,639"
"Eaton 计划信息表, 回收",5,6,43,627,478,提前装运,9%,43,2014/3/9,中国,中南,洛阳,纸张,陈锦,0%,5,广东,办公用品,公司,CN-2014-4757396,2014/3/4,标准级,478
"诺基亚 耳机, 整包",5,6,505,"1,791","1,366",提前装运,37%,505,2014/3/9,中国,华北,天津,电话,王庆缘,0%,4,天津,技术,消费者,CN-2014-3370094,2014/3/4,标准级,"1,366"
"SAFCO 椅垫, 红色",1,1,-372,"1,536","1,172",准时装运,-32%,-372,2014/3/9,中国,华东,常熟市,椅子,邹丽雪,40%,7,江苏,家具,小型企业,CN-2014-2975416,2014/3/8,一级,"1,172"
"Ibico 装订机盖, 回收",4,6,94,685,523,提前装运,18%,94,2014/3/12,中国,华东,福州,装订机,万刚,0%,8,福建,办公用品,公司,CN-2014-4448319,2014/3/8,标准级,523
"Hon 摇椅, 黑色",4,6,215,"2,352","1,795",提前装运,12%,215,2014/3/12,中国,华东,福州,椅子,万刚,0%,3,福建,家具,公司,CN-2014-4448319,2014/3/8,标准级,"1,795"
"Accos 回形针, 金属",6,6,12,87,66,准时装运,18%,12,2014/3/14,中国,中南,浯溪,系固件,袁德,0%,1,湖南,办公用品,消费者,CN-2014-1738807,2014/3/8,标准级,66
"Safco 搁架, 金属",4,6,-449,"5,039","3,846",提前装运,-12%,-449,2014/3/13,中国,西北,张掖,书架,邢良,40%,7,甘肃,家具,消费者,CN-2014-2844736,2014/3/9,标准级,"3,846"
"摩托罗拉 智能手机, 整包",4,6,-170,953,727,提前装运,-23%,-170,2014/3/13,中国,西北,张掖,电话,邢良,40%,2,甘肃,技术,消费者,CN-2014-2844736,2014/3/9,标准级,727
"罗技 键盘, 实惠",7,6,486,"2,658","2,029",延迟装运,24%,486,2014/3/16,中国,华北,北京,配件,彭绅,0%,6,北京,技术,公司,CN-2014-2664017,2014/3/9,标准级,"2,029"
"Cuisinart 微波炉, 银色",1,1,469,"1,707","1,303",准时装运,36%,469,2014/3/12,中国,华东,胶南,器具,邱谦,0%,1,山东,办公用品,消费者,CN-2014-5687295,2014/3/11,一级,"1,303"
"Tenex 文件车, 单宽度",1,1,213,"1,641","1,252",准时装运,17%,213,2014/3/12,中国,华东,胶南,收纳具,邱谦,0%,2,山东,办公用品,消费者,CN-2014-5687295,2014/3/11,一级,"1,252"
"Binney & Smith 速写本, 混合尺寸",3,1,427,"1,514","1,155",延迟装运,37%,427,2014/3/14,中国,华东,潍坊,美术,林谦,0%,5,山东,办公用品,消费者,CN-2014-3566090,2014/3/11,一级,"1,155"
"Memorex 键区, 可编程",4,6,-20,514,392,提前装运,-5%,-20,2014/3/16,中国,西南,成都,配件,秦淑芳,40%,3,四川,技术,公司,US-2014-4833083,2014/3/12,标准级,392
"Office Star 凳子, 黑色",2,3,-937,"1,888","1,441",提前装运,-65%,-937,2014/3/17,中国,西南,潼川,椅子,秦刚,40%,3,四川,家具,公司,US-2014-2661656,2014/3/15,二级,"1,441"
"Office Star 扶手椅, 可调",2,3,153,"1,724","1,316",提前装运,12%,153,2014/3/17,中国,西南,潼川,椅子,秦刚,40%,1,四川,家具,公司,US-2014-2661656,2014/3/15,二级,"1,316"
"三星 信号增强器, 全尺寸",2,3,90,"3,541","2,702",提前装运,3%,90,2014/3/17,中国,西南,潼川,电话,秦刚,40%,7,四川,技术,公司,US-2014-2661656,2014/3/15,二级,"2,702"
"苹果 耳机, 混合尺寸",2,3,-242,"1,117",852,提前装运,-28%,-242,2014/3/17,中国,西南,潼川,电话,秦刚,40%,4,四川,技术,公司,US-2014-2661656,2014/3/15,二级,852
"思科 办公室电话机, 蓝色",2,3,45,492,375,提前装运,12%,45,2014/3/17,中国,中南,吴川,电话,楚宣,0%,1,广东,技术,消费者,CN-2014-4282122,2014/3/15,二级,375
